id,aspect_class,sentiment_class,comment_text
139,,,hantunya cewek tapi nggak lewat di belakangnya udah sus banget
140,,,nama gem
141,,,nama game bg
142,,,bisa main di android
143,,,positif thinking aja satu tangan nya lagi buat nutupin muka karena serem oh iya sorry kalo mirip punya si zaky
144,,,yang main game nya auto tegak
145,,,gamenya susahkah
146,,,ptsny susa keren pke tangan
147,,,top up mlbb pubg ff dan roblox disini yah
149,,,gta sandreas
150,,,gta san andreas bang bagus
151,,,game yang aku suka ialah mobile legends dan garena
153,,,gw pilih gta
154,,,gta san andreas aku udah mainin dari kecil
155,,,mana roblox dan ff
156,,,aku gta san andreas
157,,,anjay stumble gay eh salah guys
158,,,counter strike game kesukkaan ku dulu
159,,,sudah tahun
160,,,lah roblox gak ada
161,,,game favoritku minecraft
162,,,the warriors bang
163,,,minecraft sebernarnya masih populer sampai sekarang
164,,,saya player minecraft
165,,,aku suka cs
166,,,aku suka gta san dreas bang
168,,,game kesukaan ku gta san andreas dan stumble guys
169,,,minecraft is the best
170,,,kirain los santos taunya lost saga
171,,,kok gaada melon sandbox sama gorebox
172,,,bro ff
173,,,coba kalo main gta pencet l1
175,,,aku gta san andreas tapi aku malah hapus dulu tapi sekarang jadi pengen main
176,,,woi ff paling bagussss
177,,,robox dan mobelejen superber
178,,,aku suka main roblox
179,,,terbalek
180,,,yg pilih ml kumpul
181,,,aku suka ml sama roblox
182,,,aku suka main game cooking mama
184,,,aku suka ff
185,,,ih cowok
186,,,malah tuker gamenya
187,,,kebalik
188,,,aku suka main roblox itu aja sih karena lebih bagus roblox bisa chat seruh lagi
189,,,aku suka main sakura school simulator
190,,,banci
191,,,aku suka main sakura
193,,,lakil
194,,,gamelakilaki
195,,,gamelaku
196,,,bencong cik
197,,,rusltsetyar
200,,,ff lah
201,,,gue nonton ini di kereta ampe kaget dan bikin bnyak orang kaget jg sama reaksi gue
202,,,duh pas jumpscare nya gw jatuh dari kursi we saking kagetnya
203,,,jirrrr langsung kaget gua kocak
204,,,gw nonton nya di malam jumat malam hari anjirr juga di luar rumah
205,,,kplaku sampe nyutan huuaa takut tpi nagih astaga
206,,,ini yg rekomendasiin game ini lagi ngerjain kak regi wkwk
207,,,bang regi main horor bareng temen yah lagi doang
208,,,hampir jantungan gua
209,,,yang nonton te berak2
210,,,ikutan lompat gw
211,,,ni game bikin kagetnya parah baru kali ini kaget parah jahat kali bah di video k bikin kaget parah
212,,,kucingnya yang terakhir kayak kucing di baby on the yellow yang kucing hitam ituloh
213,,,kak mana lanjutan videonya seru lhooo hehe
214,,,feelnya kerasa diancam banget
215,,,suka2 game like this but ini bukan game terhoror selama ntn miauwaug yg paling bikin dag dig dug game yg pyramid mesir
216,,,bang aku langsung ustat
217,,,telat nicc tidak yg pertama hh seperti biasa nonton sambil makannnnnnn
218,,,gila aku makan nasinya lompat
219,,,aaaa udh lama g nnton kak regiii
220,,,cintai jantungmu nonton miawaug tiap hari
221,,,sibal gua lg mkn pas mangap malah triak pdhl mau masukin nasi ke mulut
222,,,cuman kaget di lagi fokus liatin itu kayak gak asing
